Date,Open,High,Low,Close
2020-01-02,50.6,50.715,50.565,50.685
2020-01-03,50.65,51.09,50.65,51.09
2020-01-06,51.08,51.32,50.92,50.93
2020-01-07,50.945,50.98,50.71,50.76
2020-01-08,51.16,51.25,50.74,50.756
2020-01-09,50.65,50.74,50.525,50.651
2020-01-10,50.67,50.76,50.63,50.66
2020-01-14,50.4,50.63,50.37,50.581
2020-01-15,50.68,50.755,50.63,50.715
2020-01-16,50.63,50.888,50.62,50.831
2020-01-17,50.87,50.98,50.81,50.891
2020-01-20,50.93,51.04,50.83,50.975
2020-01-21,50.975,51.1,50.975,51.015
2020-01-22,51.06,51.085,50.86,50.91
2020-01-23,50.96,51.049,50.9,50.98
2020-01-24,51.0,51.01,50.81,50.815
2020-01-27,50.88,50.94,50.8,50.835
2020-01-28,50.9,50.925,50.74,50.75
2020-01-29,50.72,50.85,50.695,50.83
2020-01-30,50.89,51.0,50.83,50.96
2020-01-31,50.93,50.93,50.82,50.83
2020-02-03,50.95,51.05,50.8,50.8
2020-02-04,50.85,50.85,50.725,50.765
2020-02-05,50.7,50.92,50.7,50.92
2020-02-06,50.82,50.83,50.73,50.78
2020-02-07,50.85,50.86,50.74,50.755
2020-02-10,50.85,50.855,50.74,50.78
2020-02-11,50.75,50.75,50.665,50.695
2020-02-12,50.54,50.605,50.52,50.57
2020-02-13,50.57,50.59,50.43,50.5
2020-02-14,50.47,50.58,50.42,50.56
2020-02-17,50.58,50.61,50.52,50.57
2020-02-18,50.63,50.65,50.57,50.645
2020-02-19,50.6,50.69,50.57,50.58
2020-02-20,50.6,50.69,50.57,50.58
2020-02-21,50.69,50.98,50.67,50.94
2020-02-24,50.98,51.08,50.94,50.96
2020-02-26,51.085,51.13,50.99,51.035
2020-02-27,51.02,51.04,50.78,50.815
2020-02-28,50.82,51.01,50.8,50.97
2020-03-02,51.02,51.095,50.62,50.63
2020-03-03,50.65,50.78,50.55,50.69
2020-03-04,50.68,50.73,50.54,50.551
2020-03-05,50.6,50.64,50.575,50.585
2020-03-06,50.65,50.77,50.61,50.64
2020-03-09,50.63,50.715,50.54,50.58
2020-03-10,50.57,50.57,50.47,50.5
2020-03-11,50.5,50.56,50.465,50.55
2020-03-12,50.65,51.05,50.63,50.85
2020-03-13,51.25,51.31,50.85,51.03
2020-03-16,51.25,51.5,50.99,51.5
2020-03-18,51.8,51.85,51.01,51.05
2020-03-19,51.3,51.38,51.05,51.1
2020-03-20,51.15,51.24,50.75,50.97
2020-03-23,51.15,51.33,51.11,51.33
2020-03-24,51.2,51.21,50.9,50.9
2020-03-25,50.85,51.27,50.8,51.14
2020-03-26,50.98,51.15,50.9,51.07
2020-03-27,50.888,51.05,50.83,51.0
2020-03-30,51.0,51.1,50.85,50.96
2020-03-31,50.85,50.89,50.68,50.68
2020-04-01,50.7,50.93,50.67,50.88
2020-04-02,51.0,51.03,50.8,50.85
2020-04-03,50.78,50.808,50.715,50.72
2020-04-06,50.72,50.85,50.65,50.72
2020-04-07,50.65,50.8,50.625,50.68
2020-04-08,50.6,50.695,50.58,50.585
2020-04-13,50.62,50.65,50.57,50.595
2020-04-14,50.63,50.65,50.54,50.63
2020-04-15,50.65,50.67,50.6,50.62
2020-04-16,50.73,50.8,50.65,50.8
2020-04-17,50.78,50.93,50.72,50.9
2020-04-20,50.9,50.96,50.76,50.79
2020-04-21,50.83,50.905,50.765,50.79
2020-04-22,50.85,50.85,50.79,50.8
2020-04-23,50.7,50.74,50.67,50.67
2020-04-24,50.68,50.85,50.68,50.84
2020-04-27,50.75,50.77,50.695,50.695
2020-04-28,50.69,50.725,50.66,50.67
2020-04-29,50.62,50.64,50.5,50.51
2020-04-30,50.41,50.5,50.4,50.4
2020-05-04,50.55,50.62,50.54,50.595
2020-05-05,50.61,50.61,50.49,50.52
2020-05-06,50.61,50.64,50.455,50.46
2020-05-07,50.54,50.57,50.48,50.56
2020-05-08,50.5,50.51,50.41,50.42
2020-05-11,50.45,50.45,50.3,50.3
2020-05-12,50.38,50.4,50.27,50.31
2020-05-13,50.32,50.32,50.26,50.26
2020-05-14,50.29,50.5,50.29,50.445
2020-05-15,50.46,50.76,50.46,50.76
2020-05-18,50.7,50.915,50.67,50.9
2020-05-19,50.82,50.83,50.7,50.7
2020-05-20,50.7,50.75,50.615,50.65
2020-05-21,50.59,50.63,50.52,50.61
2020-05-22,50.73,50.8,50.7,50.7
